PAIR_ID;NODE_ID_A;FRASE_A;NODE_ID_B;FRASE_B;RELATION_TYPE;CONFIDENCE
11;regolamento:15:1;Ai sensi dell’art. 27 dello Statuto è istituita la Scuola di Master e Formazione Permanente con lo scopo di promuovere, organizzare e gestire le attività relative alla formazione professionalizzante e permanente. Il Regolamento della Scuola, approvato dal Senato Accademico, ne specifica il funzionamento. La composizione del Consiglio della Scuola è regolata dall’art. 27 comma 4 dello Statuto.;statuto:27;"È istituita la Scuola di Master e Formazione Permanente con lo scopo di promuovere, organizzare e gestire le attività relative alla formazione professionalizzante e permanente. Il suo funzionamento è definito da apposito Regolamento. Sono organi della Scuola il Consiglio e il Direttore. Il Consiglio ha i seguenti compiti: - indicare al Rettore il Direttore della Scuola; - definire le linee programmatiche, anche su base pluriennale, delle attività nell’ambito della formazione professionalizzante e permanente; - proporre al Senato Accademico e al Consiglio di Amministrazione l’istituzione e l’attivazione di Master, Corsi di perfezionamento e attività per la formazione permanente; - organizzare, anche in collaborazione con enti pubblici e privati, le attività didattiche inerenti ai corsi attivati nel proprio ambito. Il Consiglio della Scuola è costituito da un referente per ognuno dei Dipartimenti. Il Direttore della Scuola è nominato dal Rettore su indicazione del Consiglio della Scuola. Il mandato dura tre anni ed è rinnovabile una sola volta. Il Direttore rappresenta la Scuola nel Comitato di Ateneo per la Ricerca, Trasferimento Tecnologico e Servizi al Territorio.";explicit_reference;1.0
12;regolamento:16:1;Ai sensi dell’art. 28 dello Statuto è istituito il Comitato di Ateneo per la Ricerca, Trasferimento tecnologico e Servizi al territorio. Esso è la struttura che svolge funzioni di coordinamento e razionalizzazione tra i Dipartimenti e le altre strutture per le attività di Ricerca, Trasferimento Tecnologico e Servizi al territorio.;statuto:28;"Il Comitato di Ateneo per la Ricerca, Trasferimento Tecnologico e Servizi al Territorio è la struttura che svolge funzioni di coordinamento e razionalizzazione tra i Dipartimenti e le altre strutture per le attività di Ricerca, Trasferimento Tecnologico e Servizi al Territorio. In particolare: a) coordina i Dipartimenti nell’attuazione delle linee di indirizzo individuate da Senato Accademico e Consiglio di Amministrazione nel campo della ricerca, del trasferimento tecnologico e dei servizi al territorio; b) coordina e organizza le attività di ricerca, trasferimento tecnologico e di servizio al territorio che coinvolgono le competenze di più Dipartimenti; c) promuove e favorisce le iniziative rivolte alla diffusione della conoscenza scientifica e tecnica, al trasferimento tecnologico e alla creazione di impresa; d) esprime al Senato Accademico e al Consiglio di Amministrazione proposte e pareri sulla costituzione, rinnovo o soppressione di eventuali laboratori di ricerca interdipartimentali temporanei e svolge le attività di verifica del loro funzionamento; e) promuove e organizza le iniziative per la diffusione, la conservazione e la valorizzazione del patrimonio culturale, tecnologico, museale, bibliotecario e archivistico dell’Ateneo; f) predispone i documenti sintetici per il Nucleo di Valutazione riguardanti l’attività di ricerca, trasferimento tecnologico e di servizio al territorio e l’attività della Scuola di Dottorato e della Scuola di Master e Formazione Permanente. Il Comitato di Ateneo per la Ricerca, Trasferimento Tecnologico e Servizi al Territorio è composto da: - il Vice Rettore per la ricerca, che lo presiede; - il Vice Rettore per la qualità; - il Direttore della Scuola di Dottorato; - il Direttore della Scuola di Master e formazione permanente; - i Direttori di Dipartimento o loro delegati.";explicit_reference;1.0
13;regolamento:2:1;Il Rettore designa il Prorettore, scelto tra i Professori di ruolo di prima fascia, che lo sostituisce in tutte le sue funzioni in caso di impedimento, assenza o vacanza. Il Decreto Rettorale di nomina definisce anche le eventuali funzioni di competenza delegate di cui all’Art.10 comma 2 e comma 3, lettere l) e m) dello Statuto.;statuto:10:2;Il Rettore esercita le funzioni di indirizzo, di iniziativa e di coordinamento delle attività scientifiche e didattiche ed è responsabile del perseguimento delle finalità dell’Ateneo secondo criteri di qualità e nel rispetto dei principi di efficacia, efficienza, trasparenza e promozione del merito.;explicit_reference;1.0
14;regolamento:22:3;Nel caso di mozione di sfiducia al Rettore, il Senato Accademico è convocato ai sensi dell’art. 11 comma 15 dello Statuto.;statuto:11:15;Il Senato Accademico è convocato obbligatoriamente dal suo decano (escluso il Rettore) qualora almeno un terzo dei suoi componenti con diritto di voto presentino richiesta scritta per proporre mozione di sfiducia del Rettore da sottoporre al corpo elettorale. Tale mozione può essere proposta non prima che siano trascorsi due anni dall’inizio del mandato del Rettore. La convocazione deve avvenire entro 30 giorni dal ricevimento della richiesta e la riunione è presieduta dal decano medesimo. La mozione è approvata con il voto favorevole di due terzi dei componenti il Senato Accademico, escludendo dal computo il Rettore.;explicit_reference;1.0
15;regolamento:30:2;La partecipazione in telepresenza non è consentita per le sedute di Senato Accademico in cui è discussa la mozione di sfiducia del Rettore ai sensi dell’art. 11 comma 15 dello Statuto.;statuto:11:15;Il Senato Accademico è convocato obbligatoriamente dal suo decano (escluso il Rettore) qualora almeno un terzo dei suoi componenti con diritto di voto presentino richiesta scritta per proporre mozione di sfiducia del Rettore da sottoporre al corpo elettorale. Tale mozione può essere proposta non prima che siano trascorsi due anni dall’inizio del mandato del Rettore. La convocazione deve avvenire entro 30 giorni dal ricevimento della richiesta e la riunione è presieduta dal decano medesimo. La mozione è approvata con il voto favorevole di due terzi dei componenti il Senato Accademico, escludendo dal computo il Rettore.;explicit_reference;1.0
16;regolamento:34:1;Le elezioni studentesche si svolgono, ai sensi dell’Art. 38 dello Statuto, secondo modalità previste in apposito Regolamento elettorale deliberato dal Senato Accademico, sentiti i rappresentanti degli studenti in Senato Accademico e Consiglio di Amministrazione. Qualora le elezioni studentesche non si possano svolgere nei tempi richiesti ad assicurare il rinnovo delle rappresentanze in concomitanza al rinnovo degli organi, sono prorogati i mandati dei rappresentanti degli studenti in carica.;statuto:38;Gli studenti eletti negli organi dell'Ateneo hanno un mandato di durata biennale, rinnovabile una sola volta. L'elettorato attivo per la designazione delle rappresentanze studentesche comprende tutti gli studenti iscritti ai corsi di laurea, di laurea magistrale, di dottorato di ricerca e di specializzazione. L'elettorato passivo è attribuito agli studenti iscritti per un numero di volte non superiore alla durata normale del corso di studi incrementata di uno. La mancata designazione delle rappresentanze studentesche non pregiudica la validità della composizione degli Organi. Le norme regolamentari per disciplinare le elezioni degli studenti e per garantire la libertà e la segretezza del voto sono deliberate dal Senato Accademico, sentiti i rappresentanti degli studenti nel Consiglio di Amministrazione del Politecnico. Alle rappresentanze studentesche è assicurata la possibilità di accesso, nel rispetto della vigente normativa, ai dati necessari per l’esplicazione dei compiti ad essi attribuiti.;explicit_reference;1.0
17;regolamento:35:1;Con riferimento all’art. 5 comma 6 dello Statuto, il Politecnico favorisce, anche con il sostegno di eventuali supporti finanziari, attività formative e progettuali autogestite dagli studenti nei settori della ricerca, della cultura, degli scambi culturali, dello sport e del tempo libero, fatte salve quelle disciplinate da apposite disposizioni legislative in materia.;statuto:5:6;Il Politecnico favorisce, anche con il sostegno di eventuali supporti finanziari, attività formative e progettuali autogestite dagli studenti nei settori della ricerca, della cultura, degli scambi culturali, dello sport e del tempo libero.;explicit_reference;1.0
18;regolamento:4:1;L’elezione dei rappresentanti di Dipartimento in Senato Accademico avviene contestualmente all'elezione delle rappresentanze di cui all'Art.11, comma 4, lettere da b) a e), dello Statuto.;statuto:11:4;"Il Senato Accademico è composto da: a) il Rettore, con funzioni di presidente; b) da 15 a 24 docenti di ruolo, eletti tenendo in considerazione le aree scientificodisciplinari presenti in Ateneo, tra i quali: i) nove rappresentanti di fascia, professori e ricercatori a tempo indeterminato; ii) i rappresentanti di ciascun Dipartimento, tra i quali Direttori di Dipartimento in numero almeno pari ad un terzo del numero complessivo dei docenti di ruolo. c) due rappresentanti del personale tecnico-amministrativo; d) un rappresentante dei ricercatori a tempo determinato; e) un rappresentante dei titolari di assegno di ricerca in possesso del titolo di Dottore di Ricerca; f) un numero di rappresentanti degli studenti, di cui uno iscritto al Dottorato di Ricerca, pari al 15% (arrotondato all’intero superiore) del numero complessivo di componenti del Senato, compreso il Rettore.";explicit_reference;1.0
19;regolamento:34;Le elezioni studentesche si svolgono, ai sensi dell’Art. 38 dello Statuto, secondo modalità previste in apposito Regolamento elettorale deliberato dal Senato Accademico, sentiti i rappresentanti degli studenti in Senato Accademico e Consiglio di Amministrazione. Qualora le elezioni studentesche non si possano svolgere nei tempi richiesti ad assicurare il rinnovo delle rappresentanze in concomitanza al rinnovo degli organi, sono prorogati i mandati dei rappresentanti degli studenti in carica. Nel caso in cui un rappresentante degli studenti si dimetta o venga a cessare, si applica quanto previsto dal Regolamento elettorale di cui al comma precedente.;statuto:18;Il Garante degli Studenti viene nominato dal Comitato Paritetico per la Didattica quale referente per le funzioni di garanzia degli studenti ed è scelto tra i professori di I fascia dell’Ateneo esterni al Comitato stesso. Il Garante degli Studenti, sulla base delle segnalazioni pervenute da parte degli studenti e a seguito dei necessari accertamenti, propone agli organi competenti le opportune iniziative e ne riferisce al Comitato. Per le questioni che implicano problemi di riservatezza personale il Garante degli Studenti riferisce direttamente al Rettore.;candidate_relation;0.15
20;regolamento:34;Le elezioni studentesche si svolgono, ai sensi dell’Art. 38 dello Statuto, secondo modalità previste in apposito Regolamento elettorale deliberato dal Senato Accademico, sentiti i rappresentanti degli studenti in Senato Accademico e Consiglio di Amministrazione. Qualora le elezioni studentesche non si possano svolgere nei tempi richiesti ad assicurare il rinnovo delle rappresentanze in concomitanza al rinnovo degli organi, sono prorogati i mandati dei rappresentanti degli studenti in carica. Nel caso in cui un rappresentante degli studenti si dimetta o venga a cessare, si applica quanto previsto dal Regolamento elettorale di cui al comma precedente.;statuto:20;"Il Consiglio degli studenti svolge funzioni propositive e consultive nei confronti del Senato Accademico e del Consiglio di Amministrazione. Svolge altresì funzioni di raccordo tra i rappresentanti degli studenti del Politecnico nelle strutture centrali e periferiche. Ha competenze in materia di didattica, servizi agli studenti, contribuzione studentesca, disciplina degli accessi e diritto allo studio. Il Consiglio degli Studenti opera nell’interesse generale degli studenti e si relaziona con il Senato Accademico e il Consiglio di Amministrazione per le materie di sua competenza. In particolare: a) Formula proposte e mozioni ed esprime pareri non vincolanti su materie in discussione in Senato Accademico e in Consiglio di Amministrazione; può chiedere l’inserimento di punti all’ordine del giorno in tali Organi. b) Elegge le figure per cui è delegato dai Regolamenti di Ateneo. c) Propone progetti e può patrocinare attività culturali. Il Consiglio degli Studenti esprime infine pareri, dietro richiesta di Organi dell’Ateneo, su temi di sua competenza in discussione in quella struttura. Il Consiglio degli Studenti è composto dai rappresentanti degli studenti dell’Ateneo. Elegge un Presidente ed una Giunta con funzioni istruttorie e di coordinamento. Con maggioranza qualificata, può delegare alla Giunta specifici compiti. Gli Organi dell’Ateneo tengono conto delle proposte, delle mozioni e dei pareri del Consiglio degli Studenti, e motivano le decisioni difformi. Possono procedere qualora pareri richiesti non vengano resi entro venti giorni dalla richiesta. L’Ateneo garantisce al Consiglio degli studenti le risorse e le strutture necessarie all’espletamento dei propri compiti.";candidate_relation;0.15
